year,scenario,heatwave_days
2075,ssp370,29
2076,ssp370,33
2077,ssp370,30
2078,ssp370,39
2079,ssp370,40
2080,ssp370,40
2081,ssp370,33
2082,ssp370,35
2083,ssp370,39
2084,ssp370,40
2085,ssp370,39
2086,ssp370,40
2087,ssp370,43
2088,ssp370,45
2089,ssp370,42
2090,ssp370,37
2091,ssp370,41
2092,ssp370,40
2093,ssp370,42
2094,ssp370,40
2095,ssp370,40
2096,ssp370,43
2097,ssp370,49
2098,ssp370,45
2099,ssp370,48
2100,ssp370,52
